parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4597	0.2028	0.4535	0.2005	0.4609	0.2037	0.4784	0.1862	0.4844	0.1829	0.5285	0.1662	0.4763	0.19	0.515	0.1988	0.4755	0.1894	0.4736	0.1855	0.4755	0.1894
2	0.3876	0.2266	0.3678	0.2313	0.3806	0.2291	0.4564	0.1739	0.4623	0.1634	0.4986	0.1937	0.3996	0.2149	0.4304	0.236	0.4717	0.1908	0.3881	0.2236	0.4229	0.1866
3	0.3059	0.2365	0.2782	0.2371	0.3024	0.2453	0.3985	0.1886	0.4033	0.1876	0.4439	0.2394	0.3286	0.2254	0.3389	0.2549	0.4443	0.2175	0.3403	0.2476	0.3555	0.2084
5	0.167	0.1897	0.1645	0.1909	0.1823	0.2035	0.2791	0.181	0.2887	0.1884	0.4106	0.2591	0.2243	0.1994	0.2653	0.252	0.4439	0.2128	0.2838	0.2475	0.2391	0.1922
7	0.1072	0.1525	0.1095	0.1519	0.1086	0.148	0.204	0.1611	0.2168	0.1723	0.4013	0.2611	0.1496	0.1627	0.2549	0.2342	0.4876	0.1955	0.2671	0.2539	0.1705	0.1586
10	0.0531	0.0951	0.0487	0.092	0.0533	0.0942	0.1339	0.1303	0.1358	0.1368	0.3979	0.2701	0.082	0.1124	0.1805	0.214	0.4891	0.183	0.2297	0.2454	0.1025	0.1178
15	0.0177	0.0203	0.0176	0.0201	0.0207	0.0372	0.0689	0.0654	0.0702	0.077	0.3669	0.2641	0.037	0.0497	0.1381	0.1757	0.4905	0.2004	0.1679	0.2174	0.05	0.0588
20	0.0081	0.0096	0.0083	0.0098	0.0082	0.0098	0.0367	0.0378	0.0378	0.036	0.3539	0.2561	0.0137	0.0177	0.1072	0.1416	0.4996	0.1883	0.1514	0.2059	0.0223	0.0237
30	0.0028	0.0048	0.0028	0.0048	0.0028	0.0048	0.0172	0.0174	0.0141	0.0155	0.2835	0.271	0.0047	0.0071	0.0842	0.1206	0.4728	0.2013	0.0934	0.1605	0.0088	0.0097
40	3e-04	0.0015	3e-04	0.0015	3e-04	0.0015	0.0063	0.0118	0.0063	0.0093	0.2886	0.2653	0.0023	0.0048	0.0586	0.0914	0.4613	0.1994	0.0803	0.1443	0.0037	0.0059
50	3e-04	0.0013	3e-04	0.0013	0.0069	0.0469	0.0032	0.0084	0.0025	0.0054	0.252	0.2519	0.0073	0.0469	0.0564	0.103	0.4978	0.1822	0.0526	0.114	0.0011	0.0027
