parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.4763	0.19	0.1638	0.2431	0.1641	0.2636
1	FROST_DCMASE	0.4631	0.202	0.1775	0.2616	0.1822	0.2849
1	FROST_MF	0.4603	0.2053	0.1818	0.2637	0.1881	0.2879
1	FROST_US	0.4574	0.2047	0.1818	0.262	0.1883	0.2872
1	MASE	0.4755	0.1894	0.1649	0.2427	0.165	0.2637
1	MF	0.4844	0.1829	0.1443	0.22	0.1476	0.2433
1	OLMF	0.5285	0.1662	0.111	0.2126	0.0965	0.2148
1	S-A^2-Bias-adj	0.4736	0.1855	0.1633	0.2388	0.1634	0.2583
1	Sum A	0.4755	0.1894	0.1649	0.2427	0.165	0.2637
1	US	0.4784	0.1862	0.1517	0.232	0.1556	0.2556
1	graph-tool	0.5177	0.1969	0.142	0.2521	0.1374	0.2706
2	DC_MASE	0.3774	0.2114	0.2902	0.3016	0.2983	0.3249
2	FROST_DCMASE	0.3419	0.2207	0.329	0.3118	0.3483	0.3373
2	FROST_MF	0.3491	0.2202	0.3231	0.307	0.3414	0.3313
2	FROST_US	0.3432	0.2205	0.3282	0.314	0.3466	0.3392
2	MASE	0.3881	0.1842	0.24	0.2463	0.2529	0.2674
2	MF	0.4321	0.1685	0.2089	0.2235	0.203	0.2331
2	OLMF	0.4834	0.2127	0.1943	0.3176	0.1791	0.3271
2	S-A^2-Bias-adj	0.4353	0.1873	0.2473	0.278	0.2315	0.2899
2	Sum A	0.4221	0.203	0.2262	0.2669	0.2339	0.2928
2	US	0.4375	0.1621	0.1897	0.2015	0.1815	0.2082
2	graph-tool	0.3663	0.2633	0.3565	0.3753	0.3622	0.3998
3	DC_MASE	0.2883	0.2068	0.4081	0.3134	0.4263	0.3342
3	FROST_DCMASE	0.2495	0.2178	0.4721	0.3313	0.5002	0.3512
3	FROST_MF	0.2623	0.2184	0.4531	0.3328	0.4792	0.352
3	FROST_US	0.2522	0.2143	0.4647	0.3311	0.4927	0.3495
3	MASE	0.3059	0.1988	0.3666	0.2999	0.3869	0.3207
3	MF	0.377	0.1804	0.2651	0.2365	0.2754	0.261
3	OLMF	0.4551	0.2385	0.249	0.3513	0.2343	0.3602
3	S-A^2-Bias-adj	0.4581	0.2214	0.2208	0.3208	0.2156	0.335
3	Sum A	0.3727	0.2094	0.2825	0.2842	0.2975	0.3095
3	US	0.3616	0.1774	0.2707	0.2315	0.2853	0.2562
3	graph-tool	0.2515	0.2461	0.5171	0.377	0.5309	0.3968
5	DC_MASE	0.207	0.1912	0.5386	0.3151	0.5653	0.3308
5	FROST_DCMASE	0.1431	0.18	0.6639	0.3071	0.6936	0.3163
5	FROST_MF	0.1498	0.1733	0.6446	0.31	0.6747	0.318
5	FROST_US	0.1541	0.184	0.6431	0.3184	0.672	0.3272
5	MASE	0.2061	0.1803	0.5254	0.3023	0.556	0.3179
5	MF	0.2831	0.1851	0.3925	0.2658	0.4177	0.2911
5	OLMF	0.431	0.2507	0.3046	0.3839	0.285	0.3905
5	S-A^2-Bias-adj	0.4073	0.2447	0.2997	0.373	0.2946	0.3865
5	Sum A	0.3887	0.2021	0.2558	0.2655	0.2703	0.2928
5	US	0.2697	0.1745	0.3922	0.2614	0.4244	0.2862
5	graph-tool	0.1381	0.2082	0.7149	0.3394	0.7299	0.3508
7	DC_MASE	0.086	0.1064	0.7482	0.2251	0.7831	0.221
7	FROST_DCMASE	0.0349	0.0752	0.8875	0.1624	0.9099	0.1528
7	FROST_MF	0.0447	0.0987	0.8695	0.1917	0.8917	0.1859
7	FROST_US	0.044	0.0991	0.8742	0.1839	0.8955	0.1816
7	MASE	0.0959	0.1158	0.7303	0.2246	0.7656	0.2233
7	MF	0.1681	0.1428	0.5703	0.2472	0.6098	0.2578
7	OLMF	0.4222	0.2413	0.3255	0.3753	0.2977	0.3753
7	S-A^2-Bias-adj	0.2769	0.249	0.4899	0.3985	0.4931	0.4113
7	Sum A	0.3577	0.2114	0.3158	0.3219	0.3265	0.3411
7	US	0.1545	0.1323	0.5884	0.2333	0.6307	0.2421
7	graph-tool	0.0488	0.1277	0.8944	0.2154	0.9006	0.224
10	DC_MASE	0.0553	0.0961	0.8351	0.2017	0.8616	0.1934
10	FROST_DCMASE	0.0231	0.067	0.9299	0.1479	0.9423	0.1424
10	FROST_MF	0.0315	0.0941	0.916	0.1759	0.929	0.174
10	FROST_US	0.0273	0.0878	0.9245	0.1615	0.9376	0.1591
10	MASE	0.0637	0.1049	0.8143	0.2089	0.843	0.2029
10	MF	0.1101	0.1204	0.6887	0.2355	0.73	0.2347
10	OLMF	0.3811	0.2693	0.3831	0.4258	0.3641	0.4311
10	S-A^2-Bias-adj	0.1885	0.2336	0.6384	0.3872	0.646	0.3983
10	Sum A	0.3513	0.2071	0.3079	0.2981	0.3245	0.3201
10	US	0.1082	0.1247	0.6982	0.2431	0.7363	0.2425
10	graph-tool	0.0289	0.1098	0.9406	0.1881	0.9449	0.1897
15	DC_MASE	0.0345	0.0868	0.9141	0.1661	0.926	0.1605
15	FROST_DCMASE	0.0195	0.0754	0.9644	0.1236	0.966	0.1239
15	FROST_MF	0.0103	0.0528	0.9759	0.1001	0.9784	0.0985
15	FROST_US	0.0125	0.0604	0.972	0.1164	0.9741	0.1159
15	MASE	0.025	0.07	0.9275	0.1517	0.9388	0.1455
15	MF	0.0577	0.1072	0.836	0.2187	0.8603	0.211
15	OLMF	0.3447	0.282	0.4509	0.455	0.4318	0.4595
15	S-A^2-Bias-adj	0.0861	0.1817	0.8319	0.3155	0.8367	0.3189
15	Sum A	0.3463	0.2052	0.3149	0.2956	0.3318	0.3202
15	US	0.0582	0.1047	0.8346	0.2201	0.8576	0.2111
15	graph-tool	0.0155	0.0773	0.9679	0.139	0.9695	0.1409
20	DC_MASE	0.0089	0.0364	0.9744	0.0687	0.9796	0.0611
20	FROST_DCMASE	0.0035	0.0333	0.9949	0.0423	0.9951	0.0433
20	FROST_MF	2e-04	0.0011	0.9991	0.0051	0.9994	0.0034
20	FROST_US	2e-04	0.0011	0.9991	0.0051	0.9994	0.0034
20	MASE	0.0049	0.0131	0.9802	0.0489	0.9855	0.0377
20	MF	0.0215	0.0472	0.9282	0.1254	0.9421	0.1131
20	OLMF	0.2715	0.2653	0.5543	0.4279	0.5359	0.436
20	S-A^2-Bias-adj	0.0182	0.0746	0.957	0.1481	0.9598	0.1467
20	Sum A	0.366	0.2212	0.3153	0.3372	0.3234	0.355
20	US	0.0179	0.0395	0.9363	0.1177	0.9501	0.1031
20	graph-tool	0.002	0.0115	0.9943	0.0271	0.9946	0.0295
30	DC_MASE	6e-04	0.0021	0.9973	0.0096	0.9982	0.0064
30	FROST_DCMASE	0	0	1	0	1	0
30	FROST_MF	0	0	1	0	1	0
30	FROST_US	0	0	1	0	1	0
30	MASE	5e-04	0.0023	0.9976	0.0101	0.9984	0.0068
30	MF	0.0037	0.0104	0.9851	0.0398	0.9892	0.03
30	OLMF	0.2243	0.2351	0.6544	0.3765	0.6196	0.3923
30	S-A^2-Bias-adj	6e-04	0.0032	0.9976	0.0115	0.9982	0.0093
30	Sum A	0.3036	0.2407	0.4241	0.3699	0.4373	0.39
30	US	0.0036	0.0089	0.985	0.0359	0.9894	0.026
30	graph-tool	6e-04	0.0038	0.998	0.0125	0.9982	0.0111
40	DC_MASE	1e-04	7e-04	0.9997	0.003	0.9998	0.002
40	FROST_DCMASE	0	0	1	0	1	0
40	FROST_MF	0	0	1	0	1	0
40	FROST_US	0	0	1	0	1	0
40	MASE	0	0	1	0	1	0
40	MF	0.0011	0.0044	0.9951	0.019	0.9966	0.0133
40	OLMF	0.2421	0.2492	0.6195	0.4072	0.5897	0.4186
40	S-A^2-Bias-adj	0	0	1	0	1	0
40	Sum A	0.3443	0.2432	0.3634	0.3608	0.3759	0.3837
40	US	6e-04	0.0027	0.9973	0.012	0.9982	0.0081
40	graph-tool	4e-04	0.0034	0.9987	0.0106	0.9988	0.0098
50	DC_MASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
50	FROST_DCMASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
50	FROST_MF	0	0	1	0	1	0
50	FROST_US	0	0	1	0	1	0
50	MASE	0	0	1	0	1	0
50	MF	0	0	1	0	1	0
50	OLMF	0.1889	0.2406	0.7075	0.3857	0.6822	0.4007
50	S-A^2-Bias-adj	0	0	1	0	1	0
50	Sum A	0.307	0.2359	0.411	0.3564	0.4252	0.3798
50	US	0	0	1	0	1	0
50	graph-tool	3e-04	0.0027	0.9988	0.0091	0.999	0.008
