parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.5658	0.2056	0.149	0.2482	0.1436	0.265
1	FROST_DCMASE	0.5663	0.2082	0.1498	0.2524	0.1451	0.268
1	FROST_MF	0.5668	0.2135	0.1494	0.2581	0.1443	0.2749
1	FROST_US	0.5722	0.211	0.1452	0.255	0.1403	0.2717
1	MASE	0.5639	0.2121	0.1523	0.2559	0.1466	0.2726
1	MF	0.5787	0.1973	0.1283	0.2316	0.1236	0.2479
1	OLMF	0.638	0.1217	0.0915	0.1501	0.045	0.0853
1	S-A^2-Bias-adj	0.5609	0.2108	0.152	0.2558	0.1463	0.2724
1	Sum A	0.5638	0.2121	0.1525	0.2559	0.1467	0.2725
1	US	0.5795	0.1942	0.126	0.2238	0.1213	0.2402
1	graph-tool	0.6118	0.219	0.1271	0.2574	0.1179	0.2687
2	DC_MASE	0.4843	0.2414	0.2337	0.2926	0.2345	0.3123
2	FROST_DCMASE	0.4827	0.2461	0.2346	0.301	0.2371	0.318
2	FROST_MF	0.5132	0.2119	0.1867	0.2451	0.1851	0.259
2	FROST_US	0.5103	0.2151	0.1904	0.252	0.1889	0.2642
2	MASE	0.5033	0.1978	0.182	0.2104	0.1819	0.2262
2	MF	0.5815	0.1461	0.1225	0.1608	0.1071	0.1596
2	OLMF	0.6109	0.1382	0.1414	0.1883	0.0823	0.1307
2	S-A^2-Bias-adj	0.5819	0.1394	0.1713	0.1972	0.1049	0.1572
2	Sum A	0.559	0.1716	0.1731	0.2093	0.1307	0.1912
2	US	0.5753	0.1598	0.1268	0.1762	0.1095	0.173
2	graph-tool	0.5036	0.2812	0.2663	0.3522	0.2526	0.3659
3	DC_MASE	0.4476	0.2493	0.2761	0.3091	0.2795	0.3292
3	FROST_DCMASE	0.4324	0.266	0.3048	0.3425	0.3087	0.3593
3	FROST_MF	0.4639	0.2359	0.2516	0.2933	0.2521	0.3071
3	FROST_US	0.4528	0.2444	0.2668	0.3086	0.2683	0.3226
3	MASE	0.4826	0.2146	0.223	0.2574	0.2191	0.2722
3	MF	0.5678	0.1589	0.1291	0.1793	0.1181	0.1872
3	OLMF	0.6208	0.1261	0.1359	0.1736	0.0699	0.1053
3	S-A^2-Bias-adj	0.5571	0.1516	0.2091	0.2125	0.132	0.1896
3	Sum A	0.5829	0.1902	0.1613	0.2395	0.1222	0.2343
3	US	0.5358	0.1833	0.1532	0.1974	0.1482	0.2103
3	graph-tool	0.5139	0.2953	0.2992	0.3855	0.2656	0.3966
5	DC_MASE	0.3832	0.2482	0.3538	0.3226	0.3597	0.3414
5	FROST_DCMASE	0.3192	0.2708	0.4634	0.3781	0.4699	0.3898
5	FROST_MF	0.3794	0.2655	0.3816	0.3659	0.3835	0.3773
5	FROST_US	0.3745	0.2648	0.3828	0.366	0.3852	0.3778
5	MASE	0.5207	0.2046	0.2386	0.2703	0.196	0.2822
5	MF	0.4907	0.208	0.2137	0.2522	0.211	0.2694
5	OLMF	0.6187	0.1233	0.1505	0.1936	0.0808	0.1392
5	S-A^2-Bias-adj	0.5375	0.1143	0.2556	0.1863	0.1521	0.1539
5	Sum A	0.6096	0.1441	0.1435	0.1979	0.0917	0.1726
5	US	0.4771	0.214	0.2237	0.256	0.2237	0.2728
5	graph-tool	0.4975	0.2747	0.3453	0.3702	0.2818	0.3744
7	DC_MASE	0.2834	0.2403	0.4881	0.3367	0.4994	0.3535
7	FROST_DCMASE	0.2117	0.2532	0.6279	0.3704	0.6373	0.3803
7	FROST_MF	0.2811	0.2674	0.5238	0.381	0.5287	0.3895
7	FROST_US	0.2658	0.2656	0.5483	0.3823	0.5546	0.3936
7	MASE	0.5369	0.1209	0.2428	0.1906	0.156	0.1731
7	MF	0.4229	0.2314	0.2957	0.298	0.299	0.3172
7	OLMF	0.6198	0.0976	0.1476	0.1692	0.0721	0.0881
7	S-A^2-Bias-adj	0.515	0.0965	0.3045	0.1743	0.1791	0.1482
7	Sum A	0.6221	0.1136	0.134	0.1655	0.0732	0.1146
7	US	0.4091	0.2269	0.3069	0.2929	0.3112	0.3113
7	graph-tool	0.4605	0.2645	0.4016	0.3536	0.3112	0.3728
10	DC_MASE	0.1903	0.2099	0.6293	0.3288	0.6429	0.3404
10	FROST_DCMASE	0.1057	0.1849	0.8074	0.2935	0.8112	0.3
10	FROST_MF	0.1718	0.2333	0.7025	0.3667	0.705	0.3713
