parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4603	0.2053	0.4574	0.2047	0.4631	0.202	0.4784	0.1862	0.4844	0.1829	0.5285	0.1662	0.4763	0.19	0.5173	0.1966	0.4755	0.1894	0.4736	0.1855	0.4755	0.1894
2	0.3914	0.223	0.3681	0.2325	0.3775	0.2293	0.4564	0.1739	0.4623	0.1636	0.4986	0.1937	0.3996	0.2149	0.424	0.2453	0.4717	0.1908	0.3881	0.2236	0.4229	0.1866
3	0.3034	0.2412	0.2877	0.2382	0.2967	0.2445	0.3985	0.1886	0.4033	0.1876	0.4439	0.2394	0.3286	0.2254	0.3417	0.2643	0.4443	0.2175	0.3403	0.2476	0.3555	0.2084
5	0.1669	0.1902	0.1635	0.1903	0.1805	0.2005	0.2791	0.181	0.2887	0.1884	0.4106	0.2591	0.2243	0.1994	0.2644	0.2536	0.4439	0.2128	0.2838	0.2475	0.2391	0.1922
7	0.1075	0.1521	0.1103	0.1531	0.1074	0.1467	0.204	0.1611	0.2168	0.1723	0.4013	0.2611	0.1496	0.1627	0.2493	0.231	0.4876	0.1955	0.2671	0.2539	0.1705	0.1586
10	0.0557	0.1021	0.0478	0.0884	0.0516	0.0888	0.1339	0.1303	0.1358	0.1368	0.3979	0.2701	0.082	0.1124	0.1869	0.2074	0.4891	0.183	0.2297	0.2454	0.1025	0.1178
15	0.0172	0.0195	0.0173	0.0196	0.0207	0.0373	0.0689	0.0654	0.0702	0.077	0.3669	0.2641	0.037	0.0497	0.1373	0.1812	0.4905	0.2004	0.1679	0.2174	0.05	0.0588
20	0.0081	0.0097	0.0081	0.01	0.0081	0.0098	0.0367	0.0378	0.0378	0.036	0.3539	0.2561	0.0137	0.0177	0.0977	0.1351	0.4996	0.1883	0.1514	0.2059	0.0223	0.0237
30	0.0027	0.0044	0.0027	0.0044	0.0027	0.0043	0.0172	0.0174	0.0141	0.0155	0.2835	0.271	0.0047	0.0071	0.0753	0.1188	0.4728	0.2013	0.0934	0.1605	0.0088	0.0097
40	3e-04	0.0015	3e-04	0.0015	3e-04	0.0015	0.0063	0.0118	0.0063	0.0093	0.2886	0.2653	0.0023	0.0048	0.0585	0.1	0.4613	0.1994	0.0803	0.1443	0.0037	0.0059
50	2e-04	0.0011	3e-04	0.0013	0.0069	0.0469	0.0032	0.0084	0.0025	0.0054	0.252	0.2519	0.0073	0.0469	0.0503	0.0914	0.4978	0.1822	0.0526	0.114	0.0011	0.0027
