parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
200	DC_MASE	0.0128	0.0507	0.9371	0.1196	0.9593	0.1077
200	FROST	0.0032	0.0067	0.9773	0.0441	0.9876	0.0262
200	MASE	0.0087	0.0147	0.9436	0.0829	0.966	0.0558
200	OLMF	0.2514	0.2293	0.4515	0.4881	0.4526	0.4909
200	S-A^2-Bias-adj	0.0064	0.0177	0.9626	0.0911	0.9757	0.0654
200	Sum A	0.1635	0.1167	0.4355	0.2771	0.5045	0.2892
200	graph-tool	4e-04	0.0019	0.9967	0.0138	0.9982	0.0075
300	DC_MASE	0.0671	0.1173	0.8165	0.2185	0.8482	0.2126
300	FROST	0.0335	0.0997	0.9069	0.177	0.9258	0.1731
300	MASE	0.0671	0.1055	0.7972	0.2121	0.8343	0.2073
300	OLMF	0.3644	0.2748	0.4068	0.4361	0.3949	0.4397
300	S-A^2-Bias-adj	0.137	0.2174	0.7291	0.3546	0.7447	0.3615
300	Sum A	0.3464	0.2097	0.3069	0.3014	0.3333	0.3243
300	graph-tool	0.0264	0.1095	0.9494	0.1802	0.9528	0.1819
500	DC_MASE	0.2882	0.2614	0.5216	0.347	0.527	0.3637
500	FROST	0.2557	0.2941	0.5995	0.3905	0.6067	0.4042
500	MASE	0.3208	0.2473	0.4599	0.3215	0.4647	0.3398
500	OLMF	0.4138	0.2991	0.4335	0.3999	0.4003	0.3939
500	S-A^2-Bias-adj	0.3969	0.3253	0.4331	0.4125	0.4274	0.4255
500	Sum A	0.4536	0.273	0.3068	0.302	0.3106	0.3224
500	graph-tool	0.2515	0.3194	0.6615	0.4215	0.6495	0.4316
700	DC_MASE	0.4713	0.2877	0.3477	0.3271	0.3298	0.341
700	FROST	0.4425	0.3272	0.3996	0.3813	0.3913	0.3971
700	MASE	0.5068	0.2605	0.2962	0.289	0.2759	0.3033
700	OLMF	0.5427	0.3154	0.3206	0.3858	0.2752	0.3712
700	S-A^2-Bias-adj	0.5497	0.3155	0.2963	0.3578	0.2734	0.3621
700	Sum A	0.5681	0.2915	0.2482	0.3134	0.2356	0.326
700	graph-tool	0.4274	0.3695	0.4762	0.4502	0.4575	0.4562
1000	DC_MASE	0.655	0.2702	0.2069	0.2891	0.1748	0.2964
1000	FROST	0.6342	0.2897	0.2251	0.3096	0.2007	0.3166
1000	MASE	0.6567	0.2485	0.1913	0.2613	0.159	0.2681
1000	OLMF	0.6928	0.2376	0.187	0.2767	0.1227	0.2202
1000	S-A^2-Bias-adj	0.672	0.2922	0.2081	0.3148	0.1751	0.3084
1000	Sum A	0.7017	0.2435	0.1567	0.2544	0.1288	0.2583
1000	graph-tool	0.6075	0.3497	0.3028	0.408	0.2755	0.4051
