parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.3992	0.2183	0.3953	0.2206	0.4314	0.1932	0.4324	0.1938	0.5256	0.1411	0.4095	0.2101	0.4619	0.2272	0.4108	0.2097	0.4085	0.21	0.4108	0.2097
2	0.3312	0.2204	0.3373	0.2225	0.4294	0.1617	0.4291	0.1728	0.5267	0.1596	0.3492	0.2276	0.3393	0.2671	0.4763	0.1678	0.5005	0.1385	0.3524	0.2015
3	0.284	0.2258	0.2815	0.2272	0.3771	0.1801	0.3902	0.1738	0.5368	0.1496	0.3007	0.2169	0.3253	0.2801	0.4803	0.1961	0.4902	0.1233	0.3048	0.2112
5	0.1821	0.2046	0.1777	0.2118	0.2822	0.1915	0.2939	0.1985	0.5445	0.1406	0.1954	0.1939	0.2994	0.279	0.5444	0.1265	0.4877	0.0959	0.3022	0.2375
7	0.0956	0.1608	0.0972	0.1725	0.2069	0.173	0.212	0.1791	0.5615	0.0931	0.1143	0.1507	0.2581	0.2517	0.5668	0.083	0.4875	0.0526	0.3614	0.2266
10	0.0159	0.052	0.024	0.0804	0.1301	0.1358	0.1193	0.1243	0.5566	0.0772	0.0545	0.0914	0.2454	0.2375	0.5509	0.0734	0.4703	0.0637	0.4041	0.1882
15	0.0042	0.0212	0.0105	0.0517	0.0649	0.0843	0.0632	0.0843	0.5565	0.0748	0.0193	0.0369	0.242	0.2365	0.5647	0.0754	0.4552	0.073	0.4319	0.1289
20	3e-04	0.0019	0	0	0.0321	0.0526	0.0321	0.056	0.5363	0.0885	0.0118	0.0478	0.2118	0.2296	0.5494	0.0804	0.4421	0.0794	0.4229	0.1275
30	0	0	0	0	0.0077	0.0187	0.0075	0.0167	0.5349	0.0852	0.0043	0.0335	0.1753	0.227	0.5531	0.0775	0.4333	0.0821	0.4154	0.0929
40	1e-04	0.0013	0	0	0.0014	0.0057	0.0019	0.0085	0.522	0.1001	0.0067	0.0469	0.1747	0.2149	0.5591	0.0694	0.4217	0.0835	0.4235	0.0833
50	0	0	0	0	1e-04	7e-04	1e-04	9e-04	0.5205	0.0776	0	0	0.1533	0.2153	0.5646	0.0799	0.4017	0.0824	0.4033	0.0827
