parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
0.0133333333333333	DC_MASE	0.599	0.0284	0.0179	0.0143	0.0067	0.0165
0.0133333333333333	FROST	0.5788	0.0398	0.0306	0.0274	0.0201	0.0308
0.0133333333333333	MASE	0.5861	0.0373	0.0265	0.0209	0.0156	0.0237
0.0133333333333333	OLMF	0.2278	0.0905	0.5118	0.1182	0.4384	0.1715
0.0133333333333333	S-A^2-Bias-adj	0.5163	0.0657	0.0938	0.0673	0.0898	0.0727
0.0133333333333333	Sum A	0.1487	0.1169	0.604	0.1611	0.6511	0.1861
0.0133333333333333	graph-tool	0.6022	0.0489	0.0496	0.071	0.0141	0.0356
0.0266666666666667	DC_MASE	0.5097	0.0588	0.0909	0.0569	0.0877	0.0628
0.0266666666666667	FROST	0.3349	0.1347	0.3764	0.1972	0.3786	0.2148
0.0266666666666667	MASE	0.4886	0.0626	0.1177	0.0663	0.1132	0.0714
0.0266666666666667	OLMF	0.1091	0.1073	0.7464	0.1819	0.7301	0.2305
0.0266666666666667	S-A^2-Bias-adj	0.3681	0.1288	0.3155	0.1752	0.319	0.1876
0.0266666666666667	Sum A	0.0369	0.0356	0.8618	0.0828	0.8959	0.0793
0.0266666666666667	graph-tool	0.4599	0.0559	0.2872	0.0818	0.1668	0.0821
0.04	DC_MASE	0.287	0.0939	0.3556	0.1063	0.3736	0.1294
0.04	FROST	0.0725	0.1016	0.8195	0.1473	0.8422	0.1672
0.04	MASE	0.2973	0.1009	0.3632	0.127	0.3782	0.1458
0.04	OLMF	0.0589	0.1018	0.8674	0.1707	0.8618	0.2068
0.04	S-A^2-Bias-adj	0.2524	0.1606	0.5141	0.2312	0.516	0.2471
0.04	Sum A	0.0131	0.0098	0.9446	0.0395	0.9611	0.0289
0.04	graph-tool	0.3718	0.1084	0.4104	0.126	0.3104	0.159
0.0533333333333333	DC_MASE	0.0975	0.0354	0.6813	0.0889	0.7305	0.0893
0.0533333333333333	FROST	0.0175	0.0265	0.9322	0.0598	0.9507	0.0557
0.0533333333333333	MASE	0.1179	0.0812	0.6711	0.13	0.7093	0.1444
0.0533333333333333	OLMF	0.0649	0.1242	0.888	0.1861	0.8733	0.2254
0.0533333333333333	S-A^2-Bias-adj	0.1639	0.1711	0.6758	0.272	0.6763	0.2854
0.0533333333333333	Sum A	0.0057	0.0062	0.9751	0.0271	0.983	0.0184
0.0533333333333333	graph-tool	0.2736	0.1502	0.5393	0.1805	0.4712	0.2264
0.0666666666666667	DC_MASE	0.0401	0.0183	0.8476	0.0606	0.8832	0.0512
0.0666666666666667	FROST	0.0076	0.0069	0.9672	0.0291	0.9773	0.0206
0.0666666666666667	MASE	0.0451	0.0609	0.8602	0.1069	0.8854	0.1128
0.0666666666666667	OLMF	0.0536	0.1189	0.9164	0.1728	0.9022	0.2091
