parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
0.0133333333333333	0.5276	0.1081	0.5305	0.0968	0.5608	0.0763	0.5645	0.0706	0.5651	0.0632	0.562	0.1005	0.5825	0.0512	0.5887	0.0983	0.5899	0.0586	0.4857	0.1367	0.5261	0.1024
0.0266666666666667	0.3231	0.2044	0.3027	0.205	0.3395	0.2047	0.4103	0.173	0.4229	0.1707	0.4831	0.1922	0.4051	0.1785	0.4461	0.2112	0.5609	0.1072	0.3657	0.2141	0.3737	0.1683
0.04	0.1545	0.1652	0.1469	0.1556	0.1468	0.1583	0.2787	0.1703	0.2887	0.1685	0.4459	0.2335	0.2325	0.1762	0.3492	0.2349	0.5411	0.1425	0.2937	0.2357	0.2474	0.1634
0.0533333333333333	0.0851	0.1275	0.0849	0.1208	0.0867	0.1261	0.1912	0.1505	0.1871	0.1459	0.4154	0.2609	0.1271	0.1381	0.2455	0.229	0.5098	0.165	0.2506	0.2419	0.146	0.1282
0.0666666666666667	0.0531	0.0951	0.0487	0.092	0.0533	0.0942	0.1339	0.1303	0.1358	0.1368	0.3979	0.2701	0.082	0.1124	0.1796	0.2028	0.4891	0.183	0.2297	0.2454	0.1025	0.1178
0.08	0.0331	0.0651	0.0369	0.0763	0.0346	0.067	0.0982	0.1123	0.0976	0.1141	0.3795	0.2831	0.0529	0.0836	0.1363	0.1833	0.4689	0.1942	0.2113	0.2456	0.0727	0.0975
0.0933333333333333	0.0261	0.0654	0.0243	0.0606	0.0257	0.065	0.0743	0.0879	0.0743	0.1024	0.3627	0.2834	0.0418	0.0852	0.1079	0.1821	0.4571	0.2042	0.1991	0.2439	0.0544	0.0849
0.106666666666667	0.0187	0.0544	0.0164	0.0436	0.0218	0.0648	0.0614	0.0886	0.0626	0.0966	0.3578	0.291	0.0325	0.0739	0.0791	0.1551	0.4429	0.2004	0.1957	0.2448	0.045	0.0724
0.12	0.0183	0.0645	0.0107	0.0228	0.0145	0.0449	0.0467	0.0729	0.0524	0.0898	0.3707	0.2826	0.0221	0.0507	0.0672	0.1458	0.4449	0.2011	0.1925	0.2448	0.0365	0.071
0.133333333333333	0.0106	0.0398	0.0107	0.0399	0.0106	0.0397	0.0399	0.0639	0.0425	0.0796	0.3587	0.2882	0.0184	0.0439	0.051	0.1281	0.4425	0.2004	0.1763	0.24	0.0357	0.0761
0.146666666666667	0.0149	0.0625	0.0088	0.0368	0.0075	0.0237	0.0349	0.0701	0.0357	0.0687	0.3576	0.2881	0.0134	0.0342	0.0421	0.1269	0.4368	0.1998	0.1725	0.2421	0.0321	0.0695
0.16	0.0075	0.0358	0.0077	0.0361	0.0113	0.0564	0.0284	0.0598	0.0341	0.0774	0.3659	0.2794	0.0135	0.0471	0.0385	0.1236	0.4335	0.1989	0.1644	0.2407	0.037	0.0772
