parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
10	DC_MASE	0.6208	0.0373	0.1047	0.0257	0.0792	0.0257
10	FROST_DCMASE	0.397	0.1421	0.4602	0.2083	0.4002	0.198
10	FROST_MF	0.6362	0.0745	0.1122	0.0793	0.0854	0.0684
10	FROST_US	0.573	0.0464	0.1863	0.0813	0.1513	0.0641
10	MASE	0.6276	0.0311	0.1227	0.0321	0.0827	0.0229
10	MF	0.718	0.0214	0.0291	0.0111	0.015	0.0085
10	OLMF	0.2588	0.0836	0.7169	0.0927	0.6336	0.1234
10	S-A^2-Bias-adj	0.3584	0.0729	0.4929	0.0701	0.4309	0.0951
10	Sum A	0.2134	0.0079	0.7697	0.0318	0.7087	0.0209
10	US	0.7028	0.0196	0.0368	0.0128	0.0221	0.0102
10	graph-tool	0.5692	0.1039	0.3351	0.1485	0.172	0.0841
