parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4321	0.0461	0.433	0.048	0.4492	0.0422	0.4451	0.0407	0.4471	0.0326	0.448	0.0373	0.4493	0.0784	0.4521	0.0354	0.4502	0.045	0.4521	0.0354
2	0.3931	0.0615	0.3979	0.0613	0.4432	0.0418	0.4462	0.0383	0.4462	0.0303	0.453	0.0338	0.2668	0.0857	0.4181	0.0556	0.4491	0.0431	0.4528	0.0339
3	0.3801	0.0712	0.3831	0.072	0.4297	0.0416	0.4407	0.041	0.447	0.0334	0.4475	0.0317	0.2111	0.0723	0.3731	0.0682	0.4445	0.0447	0.4468	0.0379
5	0.3679	0.0738	0.3581	0.0786	0.4271	0.0525	0.4323	0.0445	0.457	0.0306	0.4415	0.042	0.2102	0.0767	0.2941	0.0846	0.4375	0.0469	0.4261	0.0459
7	0.3325	0.098	0.3409	0.0918	0.4215	0.0557	0.4122	0.0578	0.4548	0.0273	0.4374	0.0476	0.2011	0.0839	0.2381	0.0843	0.4335	0.0524	0.4177	0.0477
10	0.3289	0.0995	0.3123	0.095	0.4033	0.0581	0.4033	0.0678	0.4553	0.0266	0.4215	0.0493	0.1915	0.0911	0.1857	0.0794	0.4258	0.0531	0.4086	0.0554
15	0.2855	0.1198	0.2902	0.1207	0.3903	0.0608	0.3684	0.0627	0.4551	0.0301	0.4066	0.0592	0.1861	0.0899	0.1341	0.0793	0.4208	0.0612	0.3889	0.0628
20	0.2425	0.1273	0.2563	0.1336	0.3657	0.075	0.3578	0.0743	0.4578	0.0301	0.3951	0.0643	0.1811	0.0982	0.1017	0.0713	0.4118	0.066	0.3701	0.0622
30	0.1937	0.1334	0.1905	0.1372	0.3324	0.0759	0.3261	0.0761	0.4637	0.0259	0.375	0.0806	0.1593	0.1046	0.0654	0.0612	0.3951	0.0695	0.3454	0.0701
40	0.1525	0.1256	0.1456	0.1251	0.295	0.0736	0.2931	0.0734	0.4612	0.0284	0.3493	0.0804	0.1583	0.1016	0.0475	0.0577	0.3889	0.0792	0.3267	0.0849
50	0.1279	0.1149	0.132	0.1204	0.2781	0.0759	0.2795	0.0679	0.4583	0.0285	0.3394	0.0833	0.1523	0.1071	0.0356	0.0538	0.3843	0.0833	0.3175	0.0872
