parameter	FROST_MF_moyenne	FROST_US_moyenne	US_moyenne	MF_moyenne	OLMF_moyenne	DC_MASE_moyenne	graph.tool_moyenne	Sum.A_moyenne	S.A.2.Bias.adj_moyenne	MASE_moyenne	FROST_MF_ecart_type	FROST_US_ecart_type	US_ecart_type	MF_ecart_type	OLMF_ecart_type	DC_MASE_ecart_type	graph.tool_ecart_type	Sum.A_ecart_type	S.A.2.Bias.adj_ecart_type	MASE_ecart_type
0	0.3268	0.3307	0.3285	0.3435	0.3716	0.3386	0.3341	0.3109	0.3145	0.3158	0.0233	0.0232	0.0172	0.0231	0.0454	0.0263	0.0384	0.0223	0.037	0.0187
0.1	0.3291	0.3283	0.329	0.3419	0.3645	0.3401	0.3432	0.315	0.2983	0.3113	0.0289	0.0253	0.0232	0.0244	0.0451	0.0262	0.0395	0.0227	0.0429	0.0269
0.2	0.3336	0.3252	0.3305	0.3455	0.3487	0.3419	0.3549	0.3147	0.2379	0.3142	0.0296	0.0312	0.0255	0.0268	0.0583	0.0313	0.0486	0.0252	0.064	0.026
0.3	0.3267	0.3287	0.3375	0.3492	0.3192	0.3369	0.3757	0.3075	0.1763	0.3089	0.0363	0.0346	0.0276	0.0269	0.0806	0.0326	0.0521	0.0311	0.076	0.0282
0.4	0.3244	0.3204	0.341	0.359	0.2311	0.3368	0.38	0.3007	0.1791	0.3119	0.052	0.0528	0.03	0.0284	0.0949	0.0358	0.0546	0.0382	0.151	0.0266
0.5	0.3222	0.3107	0.3585	0.3696	0.1495	0.3415	0.3859	0.2864	0.2183	0.3161	0.0679	0.077	0.0306	0.0341	0.1032	0.0338	0.0529	0.0566	0.2033	0.0355
0.6	0.3313	0.321	0.3698	0.3785	0.1142	0.3411	0.4129	0.289	0.3513	0.3205	0.0733	0.0712	0.0379	0.0377	0.0832	0.0401	0.0631	0.0704	0.2421	0.0371
0.7	0.3276	0.3159	0.3919	0.399	0.2142	0.3505	0.4725	0.3079	0.4835	0.3382	0.0866	0.084	0.0406	0.0411	0.1102	0.0416	0.088	0.0515	0.191	0.0432
0.8	0.3554	0.3257	0.4389	0.4605	0.3223	0.3694	0.5243	0.3221	0.5587	0.3932	0.1213	0.1226	0.0513	0.0553	0.0729	0.0484	0.067	0.0274	0.11	0.0439
0.9	0.5096	0.5021	0.5389	0.5506	0.3743	0.4896	0.5105	0.3287	0.5985	0.5186	0.1273	0.1181	0.063	0.0548	0.0569	0.0677	0.0793	0.0213	0.0267	0.0655
1	0.5382	0.5401	0.589	0.5893	0.3933	0.5727	0.4935	0.3229	0.6069	0.5848	0.0995	0.097	0.0424	0.0418	0.0531	0.05	0.0746	0.0207	0.0227	0.0481
